team,p_champion,p_finalist,p_semi,p_quarter,p_r16,p_group_advance
Germany,0.1754,0.2551,0.3684,0.5328,0.7376,1.0
Norway,0.1514,0.2334,0.3474,0.5015,0.7097,0.9887
Argentina,0.0671,0.1241,0.2215,0.3817,0.6216,0.9691
France,0.055,0.1034,0.1964,0.3531,0.6025,0.9721
England,0.0504,0.0962,0.1803,0.326,0.5585,0.912
Brazil,0.0503,0.1017,0.1907,0.3442,0.6039,0.9999
Belgium,0.0481,0.0983,0.1818,0.3191,0.5427,0.8915
Colombia,0.045,0.0925,0.1717,0.3181,0.5584,0.9218
Netherlands,0.0438,0.0932,0.1794,0.3342,0.5881,1.0
Austria,0.0354,0.0713,0.1341,0.2421,0.4219,0.6873
Spain,0.0316,0.0704,0.1464,0.2925,0.556,1.0
United States,0.0297,0.067,0.1419,0.288,0.5465,1.0
Portugal,0.0245,0.0586,0.1306,0.2487,0.4741,0.8712
Switzerland,0.0206,0.0481,0.1106,0.2427,0.5058,1.0
Morocco,0.0176,0.0499,0.1165,0.2523,0.5175,1.0
Croatia,0.0172,0.0414,0.091,0.2008,0.4031,0.7764
Japan,0.016,0.0413,0.1001,0.2312,0.4955,1.0
Scotland,0.0137,0.0359,0.0895,0.1954,0.4061,0.8095
Ivory Coast,0.0126,0.0337,0.0851,0.1993,0.4331,0.8875
Algeria,0.0124,0.0302,0.0702,0.154,0.3269,0.6453
Czech Republic,0.0112,0.0255,0.0583,0.1274,0.2548,0.4839
Sweden,0.0086,0.0254,0.069,0.1735,0.4113,0.9212
Mexico,0.0079,0.0234,0.0715,0.183,0.428,1.0
Egypt,0.0061,0.0218,0.0642,0.1709,0.425,1.0
Senegal,0.0054,0.0143,0.0375,0.0972,0.2316,0.5322
Panama,0.0051,0.0163,0.0508,0.1263,0.3067,0.6759
Cape Verde,0.005,0.0167,0.0461,0.1263,0.3257,0.8012
Turkey,0.0049,0.0118,0.0269,0.0549,0.1054,0.1947
Iran,0.0044,0.0148,0.0405,0.1081,0.2719,0.6379
Canada,0.0042,0.0148,0.0481,0.1355,0.3835,1.0
Bosnia and Herzegovina,0.0042,0.0119,0.0377,0.0992,0.2561,0.6266
Paraguay,0.0037,0.0115,0.0365,0.1051,0.3014,0.7961
Jordan,0.003,0.0101,0.0278,0.0751,0.1925,0.4558
South Korea,0.0022,0.01,0.034,0.1034,0.3044,0.8316
Australia,0.0015,0.0057,0.0199,0.0795,0.2612,0.8022
Uzbekistan,0.001,0.004,0.0149,0.0527,0.1695,0.4887
Curacao,0.0008,0.0037,0.0101,0.0332,0.0955,0.2722
Ghana,0.0006,0.0029,0.0108,0.0355,0.1185,0.3575
DR Congo,0.0006,0.0024,0.0119,0.0397,0.1302,0.4108
Uruguay,0.0005,0.0024,0.0098,0.0391,0.134,0.3934
Iraq,0.0004,0.001,0.0039,0.015,0.0477,0.1466
South Africa,0.0003,0.0015,0.006,0.0238,0.0874,0.2943
New Zealand,0.0002,0.0007,0.0021,0.0082,0.0329,0.109
Haiti,0.0002,0.0003,0.0013,0.0041,0.0127,0.0323
Saudi Arabia,0.0001,0.001,0.0039,0.013,0.0523,0.1982
Ecuador,0.0001,0.0004,0.0026,0.0094,0.0275,0.085
Qatar,0.0,0.0,0.0003,0.0032,0.0228,0.1204
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
